,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
0,1645443972659.3271,,,898.626953125,,,
1,1645443973591.96,1019.8800040799999,517.0392794,254.33203125,,,
2,1645443973879.293,708.6359083,444.27371439999996,89.007080078125,319.6368480129896,-2.911928262013774,9.685678464927689
3,1645443973991.29,528.96296735,407.00656425,199.882080078125,183.49715580881582,-2.9370760266856775,7.981610863603063
4,1645443974213.1729,538.9308434090908,200.52734004545454,221.578125,206.71968600314858,-1.522558333516718,9.396036551838169
5,1645443974457.744,657.3059613333332,191.67156342857143,210.257080078125,118.7059110704536,-0.07467203387993651,5.162715804421134
6,1645443974779.001,865.0682465555557,187.75277377777778,178.0009765625,207.7992398279822,-0.018859654991185772,1.8720652236755153
7,1645443974979.0051,498.22723059649127,398.4207021754385,655.462890625,423.028730756246,2.620302778123642,19.225805061609805
8,1645443975656.593,545.8404831904761,401.09319914285715,677.7529296875,47.68819626091415,0.056070433185419065,2.1553987010582665
9,1645443976356.362,592.3162810740741,396.4833725061728,932.0478515625,46.70385734109485,-0.09886431220421302,2.1213488840861907
10,1645443977310.7551,657.72325,404.74811835897435,411.330810546875,65.92706278978635,0.12569266162841822,2.95038840533799
11,1645443977744.087,777.7399884155843,404.3350640909091,832.026123046875,120.01744920528496,-0.003441625248866832,5.455096452847965
12,1645443978599.115,,,533.865234375,,,
13,1645443979237.978,967.7292516585367,402.8658178048781,349.22998046875,,,
14,1645443979609.117,1091.5136865606062,396.3211877727272,721.45703125,123.95732534337135,-0.05282200496888491,5.657843352460458
15,1645443980353.573,1173.5086338235294,399.14051541176474,166.64111328125,82.04340305585698,0.03437062222903249,3.5672559436625857
16,1645443980542.2212,1284.5109733333334,396.79309333333333,377.330810546875,111.02715779062387,-0.021144349273518034,5.045065378799829
17,1645443980941.5532,,,832.6767578125,,,
18,1645443981796.619,,,431.6669921875,,,
19,1645443982273.792,,,355.7119140625,,,
20,1645443982673.503,684.5626174054055,428.5944535405405,389.02001953125,,,
21,1645443983084.523,756.5902287619049,438.32933061904754,211.009033203125,72.6824919045609,0.13434074961386705,3.3037496320254958
22,1645443983317.5408,875.0496305517242,430.6629254482758,454.755126953125,118.70721814887372,-0.06462744737295595,5.393627873472365
23,1645443983894.192,,,100.401123046875,,,
24,1645443984017.625,1009.1231804222223,431.90300619999994,477.56982421875,,,
25,1645443984517.552,1149.9696408205132,425.09409871794867,409.6689453125,141.01094506394338,-0.048305159368826886,6.3071889815114615
26,1645443984950.222,,,677.567138671875,,,
27,1645443985650.0398,1326.3239749736842,421.256530131579,399.13525390625,,,
28,1645443986071.1829,1404.288759085106,415.45654804255315,544.302978515625,78.18022354645466,-0.07425555122050723,3.552385024475043
29,1645443986637.486,1445.3253568571424,422.8051390714285,178.1318359375,41.68937690603654,0.17719593284416357,1.8949506487091283
30,1645443986837.6191,1399.4919347916666,414.8431093333333,244.0009765625,46.51985055632013,-2.9695924477923943,2.1144213397992306
31,1645443987136.618,496.77717434920635,471.6907861111111,678.316162109375,904.5029558136995,3.0787015723220046,16.44616531649841
32,1645443987836.6958,,,387.476318359375,,,
33,1645443988269.181,529.2605909354838,465.1819143870968,323.221923828125,,,
34,1645443988614.622,622.9645319130434,460.2534996956521,299.593017578125,93.83345792464868,-0.05254717872184119,4.223072669589727
35,1645443988936.2231,732.1392216734695,461.9074012244897,521.915771484375,109.18721662608849,0.015147970912971345,4.961238441405052
36,1645443989480.139,815.9630687857143,464.0999640714285,443.701171875,83.85251741322244,0.026150828116474494,3.811478064237384
37,1645443989946.844,883.4922008,478.10347615,199.47607421875,68.96580327334351,0.20447189342296884,2.9980040139201796
38,1645443990168.3208,,,1187.880126953125,,,
39,1645443991390.202,736.4209340819673,483.02925175409837,655.58203125,,,
40,1645443992066.8672,684.1106214499999,467.12919380000005,421.915771484375,54.67339984487747,-2.846510034638193,2.5932147453549583
